frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,peak_detected,peak_accepted,cycle_dt,amp,best_high_y,peak_y
215,8.6,0.7896759510040283,56.799600017257035,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
216,8.64,0.8975525498390198,67.65939999604598,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
217,8.68,0.8787020444869995,43.28049998730421,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
218,8.72,0.9041715264320374,42.95319999800995,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
219,8.76,0.9224240779876709,39.01519998908043,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
220,8.8,0.904365599155426,53.61909995554015,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
221,8.84,0.9069433808326721,68.42799996957183,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
222,8.88,0.8947524428367615,70.03549998626113,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
223,8.92,0.9064714312553406,83.02869996987283,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
224,8.96,0.8946530222892761,79.07220005290583,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
225,9.0,0.892823338508606,71.13830000162125,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
226,9.04,0.8925135731697083,55.147400009445846,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
227,9.08,0.8950464129447937,52.57459997665137,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
228,9.12,0.8604271411895752,133.5440999828279,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
229,9.16,0.8629948496818542,144.71770002273843,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
230,9.2,0.9120643138885498,122.37569998251274,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
231,9.24,0.90973299741745,106.46189999533817,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
232,9.28,0.9268997311592102,108.97179995663464,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
233,9.32,0.9254927039146423,57.806900003924966,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
234,9.36,0.9219549894332886,61.0910999821499,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
235,9.4,0.8905941843986511,60.06300001172349,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
236,9.44,0.9112398624420166,69.62949997978285,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
237,9.48,0.9030770063400269,49.907200038433075,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
238,9.52,0.9043924808502197,72.78379995841533,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
239,9.56,0.9075993299484253,75.93150000320747,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
240,9.6,0.8612432479858398,54.87559997709468,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
241,9.64,0.7651090025901794,65.4213999514468,5,0,5,double,0.0,STOPPED,True,False,2.6799999999999997,0.0,,417.9119873046875
242,9.68,0.8936651945114136,55.766599951311946,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
243,9.72,0.9020681381225586,60.32170000253245,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
244,9.76,0.9104079604148865,53.15819999668747,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
245,9.8,0.90850830078125,46.43469996517524,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
